"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login","tests.pytest","Mon Feb 16 19:12:27 UTC 2026","passed","Mon Feb 16 19:12:27 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Mon Feb 16 19:12:26 UTC 2026","passed","Mon Feb 16 19:12:26 UTC 2026","TestUserAuthentication","test_markers","",""
"","1938","Check displaying of dashboard page","tests.dashboard","Mon Feb 16 19:12:25 UTC 2026","passed","Mon Feb 16 19:12:27 UTC 2026","TestDashboard","test_dashboard","",""
"","2376","Check correct create course","tests.courses","Mon Feb 16 19:12:22 UTC 2026","passed","Mon Feb 16 19:12:24 UTC 2026","TestCourses","test_courses","",""
"","1593","Navigation from login page to registration page","tests.authentification","Mon Feb 16 19:12:17 UTC 2026","passed","Mon Feb 16 19:12:19 UTC 2026","TestAuthorization","test_authorization","",""
"","1779","Correct registration","tests.authentification","Mon Feb 16 19:12:18 UTC 2026","passed","Mon Feb 16 19:12:20 UTC 2026","TestRegistration","test_registration","",""
"","0","test_password_reset","tests.pytest","Mon Feb 16 19:12:26 UTC 2026","passed","Mon Feb 16 19:12:26 UTC 2026","TestUserAuthentication","test_markers","",""
"","1513","Check displaying of empy courses list","tests.courses","Mon Feb 16 19:12:21 UTC 2026","passed","Mon Feb 16 19:12:22 UTC 2026","TestCourses","test_courses","",""
"","3135","Check edit courses list","tests.courses","Mon Feb 16 19:12:22 UTC 2026","passed","Mon Feb 16 19:12:26 UTC 2026","TestCourses","test_courses","",""
"","0","test_regress","tests.pytest","Mon Feb 16 19:12:26 UTC 2026","passed","Mon Feb 16 19:12:26 UTC 2026","","test_markers","",""
"","1850","User login with wrong email or password","tests.authentification","Mon Feb 16 19:12:15 UTC 2026","passed","Mon Feb 16 19:12:17 UTC 2026","TestAuthorization","test_authorization","",""
"","2942","Correct navigation","tests.authentification","Mon Feb 16 19:12:13 UTC 2026","passed","Mon Feb 16 19:12:16 UTC 2026","TestAuthorization","test_authorization","",""
"","1159","test_successful_token[chromium]","tests.pytest","Mon Feb 16 19:12:26 UTC 2026","passed","Mon Feb 16 19:12:27 UTC 2026","","test_token","",""
"","1607","User login with wrong email or password","tests.authentification","Mon Feb 16 19:12:16 UTC 2026","passed","Mon Feb 16 19:12:18 UTC 2026","TestAuthorization","test_authorization","",""
"","2001","User login with wrong email or password","tests.authentification","Mon Feb 16 19:12:13 UTC 2026","passed","Mon Feb 16 19:12:15 UTC 2026","TestAuthorization","test_authorization","",""
